Lote,Individuo,AE,LE,AT,LT,AA,LA,NV,Morfotipo,Labio
122,84,5.17,1.48,10.77,8.47,5.81,5.43,4.90,LU,0
122,85,4.85,1.15,10.68,7.71,6.33,5.34,4.80,LU,0
122,86,5.80,1.85,10.94,8.63,6.25,5.08,5.14,LU,0
122,87,4.77,1.19,10.33,7.75,6.11,5.40,4.78,LU,0
122,88,5.41,1.50,11.20,8.20,6.21,5.20,4.80,LU,0
122,89,5.06,1.31,10.82,7.97,6.16,5.34,5.07,LU,0
122,90,4.37,0.99,10.39,7.29,6.15,5.38,4.64,LU,0
122,91,5.40,1.56,12.09,8.85,6.49,5.85,4.71,LU,0
122,92,5.21,1.68,10.46,7.81,5.83,4.77,4.85,LU,0
122,93,5.30,1.31,11.90,8.60,6.31,5.84,4.83,LU,0
122,94,5.42,1.55,11.59,8.51,6.62,5.71,5.04,LU,0
122,95,5.46,1.70,11.38,8.06,6.04,4.96,4.98,LU,0
122,96,5.84,1.85,11.30,9.33,6.17,5.85,5.00,LU,0
128,3,5.59,1.65,12.37,9.10,7.38,6.13,5.20,LU,0
128,4,6.97,3.13,14.20,10.59,7.90,6.58,5.20,LU,0
128,5,6.90,2.19,14.86,11.02,9.17,7.19,5.24,LB,1
128,6,6.76,1.94,15.06,11.67,8.55,7.86,5.25,LB,0
128,7,7.31,2.32,16.32,12.24,9.12,7.99,5.25,LB,0
128,8,7.05,2.15,15.31,11.26,9.50,6.97,5.40,LB,1
128,9,4.86,1.87,11.04,8.72,6.74,5.51,4.91,LB,0
128,10,5.09,1.70,10.64,8.05,5.60,5.30,4.64,LB,0
128,11,6.03,1.74,12.70,9.39,7.00,6.14,4.96,LB,0
128,12,5.93,1.87,13.08,9.61,7.84,5.90,5.02,LB,1
128,14,5.10,1.45,11.43,8.46,6.77,5.76,4.64,LU,0
128,15,5.09,1.17,11.28,7.78,5.68,5.68,4.66,LU,0
128,16,4.48,1.33,10.88,8.43,6.92,5.97,4.86,LU,0
128,17,4.50,1.47,9.78,7.64,5.70,4.95,4.60,LU,0
128,18,4.32,1.27,10.01,7.58,6.16,5.21,4.54,LU,0
128,19,4.58,1.23,10.77,7.92,5.90,6.08,4.55,LB,0
133,1,8.00,2.28,15.82,11.50,8.55,6.77,5.90,LU,0
144,4,7.02,2.29,14.14,11.00,8.38,6.22,5.44,LU,1
144,5,6.64,1.80,15.46,11.32,9.40,7.10,5.54,LU,1
144,6,5.96,1.83,13.12,9.40,7.35,5.47,5.31,LU,1
144,7,6.37,2.01,12.96,10.66,7.72,6.53,5.38,LU,0
144,8,6.08,1.92,12.48,9.17,7.19,5.44,5.22,LU,0
144,9,7.26,2.11,15.43,11.04,9.20,6.71,5.32,LU,1
144,10,5.73,1.71,12.79,9.56,7.86,5.98,4.94,LU,1
144,11,6.87,2.01,14.60,10.17,8.57,5.91,5.55,LU,1
144,12,5.32,1.47,11.91,8.35,6.52,5.60,4.93,LU,0
144,13,5.99,1.71,13.10,9.45,7.63,5.57,5.19,LU,1
144,14,6.03,1.46,13.45,9.49,7.65,6.22,4.97,LU,1
144,15,6.53,2.07,12.34,10.03,7.28,5.33,5.55,LU,1
144,16,6.60,2.23,13.82,9.91,8.38,5.59,5.29,LU,1
144,17,5.86,1.88,11.99,9.00,6.63,5.48,5.04,LU,0
144,18,6.11,1.72,13.23,9.51,7.51,5.85,5.11,LU,0
144,19,7.31,2.30,14.55,10.76,8.17,5.90,5.47,LU,1
144,20,5.36,1.55,12.43,8.16,7.34,5.73,5.09,LU,1
144,21,7.53,2.09,16.16,11.74,9.70,6.98,5.46,LU,1
144,22,6.42,1.67,14.00,10.08,8.10,6.12,5.24,LU,1
144,23,6.84,2.38,14.79,10.92,8.97,6.15,5.25,LU,1
144,24,5.84,1.80,13.16,9.12,7.35,5.66,5.16,LU,1
144,25,6.96,2.15,14.84,11.05,9.04,6.34,5.31,LU,1
144,26,8.74,2.61,19.09,14.45,11.95,8.56,5.43,LU,1
150,3,7.86,1.97,16.30,11.90,10.11,7.97,5.62,LU,1
150,4,7.11,2.09,15.66,11.39,9.47,7.90,5.63,LU,1
150,5,6.35,1.78,14.08,10.52,8.83,6.62,5.25,LU,1
150,6,6.15,1.63,14.40,10.36,8.71,7.03,5.44,LU,1
152,3,7.99,2.49,16.84,12.67,10.33,7.28,5.48,LU,1
152,4,7.47,1.72,16.64,11.73,9.93,7.48,5.16,LU,1
152,5,7.65,2.39,16.11,11.93,9.27,6.64,5.48,LU,1
152,6,6.84,1.58,15.93,10.93,8.89,7.22,4.88,LU,1
152,7,7.51,2.03,15.62,11.21,9.19,6.87,5.34,LU,1
152,8,6.96,1.94,14.63,10.83,8.75,6.38,5.35,LU,1
152,9,6.73,1.79,14.77,10.62,8.76,6.75,5.23,LU,1
152,10,6.72,1.83,14.18,10.43,8.62,6.39,5.42,LB,1
152,11,5.79,1.45,13.34,9.19,7.61,5.83,4.92,LU,1
152,12,4.26,0.98,11.07,7.53,6.50,5.55,4.72,LU,0
152,13,4.39,1.05,10.13,7.17,6.13,5.17,4.48,LU,0
158,1,7.31,2.23,17.17,12.05,11.06,7.75,5.35,LU,1
165,7,6.65,2.05,14.16,10.99,8.18,6.98,5.34,LU,0
177,1,6.06,1.46,13.77,9.63,8.83,6.14,5.41,DU,1
177,2,7.96,2.38,16.41,11.83,9.89,6.91,5.72,LU,1
198,1,5.06,1.34,11.34,8.65,6.87,6.06,4.83,LU,0
198,2,4.98,1.24,10.68,8.00,6.10,5.33,4.88,LU,0
198,3,5.30,1.26,11.32,7.57,6.12,5.05,4.98,LU,0
242,2,8.71,2.53,18.82,13.58,10.94,8.18,5.57,LB,1
242,6,9.04,2.63,18.23,13.46,10.06,8.34,5.49,LB,0
242,7,6.52,1.69,16.32,10.99,9.86,7.50,5.13,LU,1
242,8,7.46,1.74,17.76,12.40,10.99,8.81,5.16,LU,1
242,9,6.88,2.30,13.49,10.61,7.77,6.73,5.60,LU,0
242,10,5.05,1.31,11.68,8.35,7.02,5.94,5.15,LU,0
243,8,7.68,1.87,16.08,11.45,9.30,7.08,5.38,LU,1
253,3,6.93,2.10,15.53,11.06,9.36,6.83,5.26,LU,1
253,8,6.70,2.00,14.56,10.96,8.69,7.07,5.32,LU,1
253,9,7.68,2.13,14.87,12.00,8.64,6.69,5.49,LU,1
253,10,6.82,2.12,14.54,10.83,8.92,6.54,5.31,LU,1
253,11,6.36,2.20,12.43,10.13,7.54,6.07,5.45,LU,0
253,12,6.01,1.79,12.79,9.40,7.44,6.02,5.04,LU,0
253,13,5.61,1.40,12.23,9.05,7.12,6.06,5.03,LU,0
253,14,5.53,1.47,12.12,8.99,6.96,6.01,5.16,LU,0
253,15,5.15,1.41,11.08,8.30,6.63,5.45,4.88,LU,0
253,16,5.16,1.48,10.86,8.42,6.74,5.58,4.85,LU,0
264,1,6.36,1.63,14.18,11.01,8.69,7.57,5.39,LU,0
276,5,6.76,1.62,14.76,10.53,8.75,6.63,5.30,LU,1
276,6,6.45,1.81,14.17,10.59,8.27,6.59,5.28,LU,1
276,7,5.97,1.69,13.46,9.82,7.92,6.20,5.31,LU,1
276,8,5.45,1.27,12.63,8.68,7.44,5.86,4.86,LU,1
276,9,5.93,1.84,11.83,9.36,6.63,5.81,5.36,LU,0
291,3,5.39,1.60,12.29,9.19,7.99,6.51,5.21,LU,0
294,1,6.71,1.92,13.91,10.24,7.46,6.39,5.09,LU,0
294,2,5.87,2.08,12.61,10.34,7.91,6.61,5.08,LU,0
318,9,6.25,2.02,12.75,9.70,7.82,5.60,5.21,LB,1
318,10,6.00,1.63,12.85,10.18,7.25,6.35,5.13,LB,0
318,11,6.52,1.91,13.86,10.77,7.76,6.73,5.32,LB,1
318,12,4.20,1.20,9.16,7.05,4.79,4.72,4.78,LB,0
318,13,8.07,2.38,18.40,13.43,10.50,8.78,5.16,LB,1
318,14,5.90,1.53,12.91,9.39,7.39,5.93,4.80,LB,1
318,15,5.09,1.49,10.76,8.45,6.51,5.62,4.90,LU,0
318,16,3.20,0.71,8.65,6.65,5.73,5.21,4.36,LU,0
318,17,5.56,1.64,11.33,9.62,6.43,6.02,5.12,LB,0
318,18,6.02,1.28,12.90,9.09,7.18,6.42,5.05,LB,0
318,19,4.69,1.57,10.94,8.61,6.49,5.81,4.68,LB,0
318,20,5.31,1.45,11.31,8.82,6.68,5.94,4.93,LB,0
318,21,4.28,1.20,9.89,7.88,5.97,5.51,4.53,LB,0
318,22,5.52,1.37,12.35,8.76,6.80,5.66,4.89,LB,1
