Lote,Individuo,AE,LE,AT,LT,AA,LA,NV,Morfotipo,Ratio_LE_AE,Ratio_LT_AT,Ratio_LA_AA,Ratio_LE_LT,Ratio_AE_AT,Ratio_LA_LT,Ratio_AA_AT,Ratio_LE_LA,Ratio_AE_AA
99,19,6.92,2.08,13.61,10.51,8.24,6.1,5.22,LU,0.30057803468208094,0.772226304188097,0.7402912621359222,0.19790675547098002,0.5084496693607642,0.5803996194100857,0.6054371785451874,0.3409836065573771,0.8398058252427184
99,19,6.87,2.1,13.58,10.31,8.28,6.02,5.19,LU,0.3056768558951965,0.7592047128129603,0.7270531400966184,0.20368574199806014,0.5058910162002945,0.5838991270611057,0.609720176730486,0.34883720930232565,0.8297101449275364
99,20,6.53,1.89,12.49,9.41,6.44,5.81,5.28,LU,0.28943338437978555,0.7534027221777422,0.9021739130434782,0.2008501594048884,0.5228182546036829,0.6174282678002125,0.5156124899919936,0.3253012048192771,1.013975155279503
99,20,6.57,1.91,12.46,9.63,6.26,5.75,5.27,LU,0.2907153729071537,0.7728731942215088,0.9185303514376997,0.19833852544132916,0.5272873194221509,0.5970924195223261,0.5024077046548956,0.33217391304347826,1.049520766773163
99,20,6.42,1.88,12.45,9.64,6.22,5.81,5.28,LU,0.29283489096573206,0.7742971887550202,0.9340836012861736,0.19502074688796678,0.5156626506024097,0.6026970954356846,0.4995983935742972,0.32358003442340794,1.032154340836013
99,20,6.54,1.88,12.67,9.59,6.36,5.76,5.31,LU,0.2874617737003058,0.7569060773480663,0.9056603773584905,0.19603753910323252,0.516179952644041,0.6006256517205422,0.5019731649565904,0.3263888888888889,1.0283018867924527
99,21,6.05,1.73,12.6,9.15,7.56,5.7,5.21,LU,0.2859504132231405,0.7261904761904763,0.7539682539682541,0.18907103825136612,0.4801587301587302,0.6229508196721312,0.6,0.30350877192982456,0.8002645502645502
99,21,6.11,1.73,12.61,9.25,7.63,5.74,5.23,LU,0.28314238952536824,0.7335448057097542,0.7522935779816514,0.18702702702702703,0.48453608247422686,0.6205405405405405,0.6050753370341,0.3013937282229965,0.8007863695937091
99,21,6.04,1.71,12.79,9.2,7.48,5.7,5.21,LU,0.28311258278145696,0.7193119624706802,0.7620320855614973,0.1858695652173913,0.47224394057857705,0.6195652173913044,0.584831899921814,0.3,0.8074866310160428
99,21,6.07,1.71,12.73,9.23,7.51,5.72,5.25,LU,0.2817133443163097,0.7250589159465829,0.7616511318242344,0.18526543878656554,0.47682639434406915,0.6197183098591549,0.5899450117831893,0.29895104895104896,0.8082556591211718
99,22,6.5,1.92,12.89,9.81,7.61,5.7,5.29,LU,0.29538461538461536,0.761055081458495,0.7490144546649146,0.19571865443425074,0.504266873545384,0.581039755351682,0.5903801396431342,0.3368421052631579,0.8541392904073587
99,22,6.43,1.93,12.97,9.71,7.66,5.72,5.29,LU,0.3001555209953344,0.748650732459522,0.7467362924281984,0.1987641606591143,0.4957594448727833,0.5890834191555097,0.5905936777178104,0.3374125874125874,0.8394255874673628
99,22,6.48,1.92,12.92,9.71,7.61,5.72,5.27,LU,0.2962962962962963,0.7515479876160991,0.7516425755584756,0.19773429454170954,0.5015479876160991,0.5890834191555097,0.5890092879256966,0.3356643356643357,0.8515111695137977
99,22,6.48,1.94,12.88,9.89,7.52,5.65,5.24,LU,0.2993827160493827,0.7678571428571429,0.7513297872340426,0.1961577350859454,0.5031055900621118,0.5712841253791708,0.5838509316770185,0.34336283185840705,0.8617021276595745
99,23,5.33,1.49,12.26,8.71,7.24,5.53,5.15,LU,0.2795497185741088,0.7104404567699838,0.7638121546961326,0.17106773823191732,0.434747145187602,0.634902411021814,0.5905383360522023,0.2694394213381555,0.7361878453038674
99,23,5.44,1.51,12.12,8.78,7.2,5.56,5.16,LU,0.27757352941176466,0.7244224422442244,0.7722222222222221,0.17198177676537588,0.4488448844884489,0.6332574031890661,0.5940594059405941,0.2715827338129497,0.7555555555555555
