Lote,Individuo,AE,LE,AT,LT,AA,LA,NV,Morfotipo,Labio
101,26,4.94,1.52,10.20,7.65,5.51,4.96,5.10,LU,0
101,26,4.79,1.51,10.27,7.65,5.53,4.86,5.09,LU,0
101,26,4.95,1.54,10.28,7.83,5.59,4.87,5.06,LU,0
101,27,5.36,1.75,10.71,9.04,7.12,5.66,5.22,LU,0
101,27,5.33,1.71,10.89,9.21,7.16,5.70,5.22,LU,0
101,27,5.39,1.72,10.73,9.09,7.18,5.64,5.22,LU,0
101,27,5.32,1.73,10.70,9.20,7.07,5.60,5.27,LU,0
101,28,4.11,1.19,9.13,6.68,5.42,4.60,4.33,LU,0
101,28,3.98,1.14,9.22,6.82,5.50,4.52,4.27,LU,0
101,28,4.01,1.19,9.09,6.63,5.31,4.63,4.31,LU,0
101,28,3.97,1.16,9.20,6.74,5.41,4.57,4.29,LU,0
101,29,3.89,1.18,8.85,6.72,5.28,4.49,4.63,LU,0
101,29,3.98,1.23,8.92,6.81,5.46,4.50,4.64,LU,0
101,29,3.94,1.23,8.77,6.77,5.33,4.50,4.67,LU,0
101,29,3.95,1.22,8.94,6.83,5.42,4.43,4.66,LU,0
101,30,4.16,1.25,9.22,6.76,5.31,4.44,4.37,LU,0
101,30,4.04,1.24,9.29,6.72,5.26,4.50,4.32,LU,0
101,30,4.19,1.27,9.21,6.80,5.23,4.47,4.36,LU,0
101,30,4.14,1.26,9.15,6.58,5.22,4.50,4.37,LU,0
101,31,3.45,0.87,8.00,6.23,5.45,4.26,4.08,LU,0
101,31,3.39,0.91,8.09,6.30,5.63,4.33,4.06,LU,0
101,31,3.32,0.90,7.95,6.32,5.61,4.21,4.05,LU,0
101,31,3.40,0.88,7.92,6.15,5.51,4.28,4.08,LU,0
102,2,5.88,1.59,12.40,8.87,7.32,5.39,4.80,LU,1
102,2,5.78,1.62,12.29,8.97,7.30,5.48,4.77,LU,1
102,2,5.73,1.59,12.30,8.93,7.37,5.43,4.80,LU,1
102,2,5.75,1.63,12.45,8.83,7.36,5.41,4.81,LU,1
117,1,7.07,1.72,15.17,10.49,9.05,6.62,5.27,LU,1
117,1,7.10,1.70,15.17,10.55,8.91,6.66,5.25,LU,1
117,1,7.01,1.74,15.20,10.70,9.01,6.62,5.25,LU,1
117,1,6.99,1.75,15.12,10.50,8.92,6.73,5.28,LU,1
122,3,6.25,1.85,13.74,9.59,7.89,5.54,5.24,LU,1
122,3,6.33,1.83,13.58,9.64,7.89,5.51,5.23,LU,1
122,3,6.32,1.85,13.64,9.58,7.91,5.54,5.25,LU,1
122,3,6.27,1.85,13.43,9.53,8.01,5.56,5.25,LU,1
122,8,5.84,1.82,12.19,9.57,7.05,6.03,5.11,LU,0
122,8,5.90,1.85,12.09,9.52,6.97,5.99,5.12,LU,0
122,8,5.99,1.85,11.99,9.49,7.06,6.00,5.07,LU,0
122,8,5.94,1.85,12.19,9.59,6.94,5.96,5.07,LU,0
122,9,6.70,2.06,14.04,11.01,8.81,6.68,5.38,LU,1
122,9,6.69,2.09,13.88,11.08,8.81,6.61,5.41,LU,1
122,9,6.71,2.07,13.86,11.11,8.84,6.67,5.39,LU,1
122,9,6.71,2.08,14.11,11.17,8.67,6.68,5.36,LU,1
122,10,6.83,2.08,15.09,10.99,9.05,6.85,5.29,LU,1
122,10,6.97,2.07,15.06,11.00,8.89,6.76,5.30,LU,1
122,10,6.82,2.03,15.07,11.10,8.91,6.82,5.24,LU,1
122,10,6.82,2.08,15.32,10.88,9.07,6.83,5.25,LU,1
122,11,7.47,2.22,15.55,11.07,8.96,6.64,5.38,LU,0
122,11,7.60,2.23,15.25,11.08,9.00,6.67,5.37,LU,0
122,11,7.56,2.21,15.51,11.29,8.87,6.59,5.33,LU,0
122,11,7.56,2.24,15.51,11.08,8.86,6.55,5.33,LU,0
122,12,7.36,2.04,15.34,11.55,9.13,7.17,5.28,LU,1
122,12,7.49,2.09,15.25,11.69,9.14,7.26,5.28,LU,1
122,12,7.45,2.06,15.25,11.71,9.11,7.25,5.27,LU,1
122,12,7.38,2.06,15.19,11.65,9.03,7.22,5.25,LU,1
122,13,8.14,2.14,16.35,11.90,9.90,7.03,5.45,LU,1
122,13,8.22,2.15,16.28,12.12,9.89,7.01,5.41,LU,1
122,13,8.15,2.17,16.44,12.02,9.86,7.09,5.46,LU,1
122,13,8.14,2.14,16.46,12.02,9.79,7.06,5.40,LU,1
122,14,7.81,2.41,14.70,11.42,8.26,6.43,5.45,LU,0
122,14,7.81,2.43,14.59,11.30,8.26,6.46,5.44,LU,0
122,14,7.81,2.39,14.85,11.24,8.40,6.44,5.45,LU,0
122,14,7.70,2.41,14.65,11.32,8.41,6.53,5.46,LU,0
122,15,6.76,1.84,13.80,10.71,8.08,6.79,4.91,LU,0
122,15,6.81,1.82,13.77,10.71,8.20,6.77,4.93,LU,0
122,15,6.79,1.84,13.61,10.90,8.12,6.85,4.91,LU,0
122,15,6.75,1.87,13.92,10.74,8.21,6.84,4.95,LU,0
122,16,7.48,2.25,15.33,11.31,8.71,6.66,5.57,LU,1
122,16,7.46,2.24,15.35,11.36,8.65,6.58,5.57,LU,1
122,16,7.45,2.20,15.43,11.28,8.62,6.62,5.57,LU,1
122,16,7.37,2.25,15.41,11.45,8.54,6.58,5.56,LU,1
122,17,7.61,2.13,15.27,11.63,8.87,6.87,5.44,LU,1
122,17,7.65,2.13,15.50,11.56,8.87,6.82,5.46,LU,1
122,17,7.60,2.12,15.38,11.72,8.96,6.87,5.46,LU,1
122,17,7.55,2.10,15.58,11.65,8.88,6.81,5.46,LU,1
122,18,6.94,1.97,16.19,11.17,8.99,7.33,5.00,LU,1
122,18,6.87,1.94,16.19,11.15,8.98,7.28,4.96,LU,1
122,18,6.90,1.97,16.00,11.07,8.93,7.27,4.99,LU,1
122,18,6.84,1.99,16.14,11.06,9.03,7.28,5.01,LU,1
122,19,7.61,1.97,15.90,11.90,9.90,7.31,5.52,LU,1
122,19,7.46,2.01,15.83,11.98,9.72,7.23,5.53,LU,1
122,19,7.61,1.98,15.90,11.86,9.87,7.30,5.50,LU,1
122,19,7.61,2.00,16.03,12.03,9.76,7.25,5.51,LU,1
122,20,7.17,1.77,14.61,10.88,8.70,6.81,5.15,LU,1
122,20,7.24,1.79,14.54,10.82,8.57,6.74,5.14,LU,1
122,20,7.26,1.78,14.64,10.91,8.52,6.81,5.10,LU,1
122,20,7.27,1.78,14.35,10.94,8.56,6.80,5.11,LU,1
122,21,6.91,1.94,14.17,10.24,8.57,6.41,5.43,LU,1
122,21,6.80,1.92,14.24,10.40,8.69,6.36,5.44,LU,1
122,21,6.84,1.96,14.15,10.29,8.76,6.36,5.44,LU,1
122,21,6.87,1.95,14.33,10.47,8.67,6.34,5.44,LU,1
122,22,6.89,2.02,14.43,9.94,8.43,5.90,5.37,LU,1
122,22,6.76,2.01,14.40,9.76,8.32,5.88,5.34,LU,1
122,22,6.87,2.00,14.62,9.86,8.48,5.82,5.33,LU,1
122,22,6.87,2.04,14.40,9.91,8.38,5.94,5.35,LU,1
122,23,7.19,2.00,15.18,11.61,9.32,7.01,5.41,LU,1
122,23,7.29,1.96,15.12,11.57,9.23,7.05,5.35,LU,1
122,23,7.28,1.96,15.30,11.52,9.16,7.05,5.36,LU,1
122,23,7.18,1.96,15.23,11.58,9.22,7.09,5.37,LU,1
122,24,6.57,1.91,13.39,10.14,7.65,5.94,5.21,LU,1
122,24,6.66,1.87,13.66,10.01,7.51,5.84,5.17,LU,1
122,24,6.59,1.91,13.42,9.98,7.57,5.91,5.19,LU,1
122,24,6.52,1.91,13.50,9.90,7.59,5.93,5.16,LU,1
122,25,6.70,1.86,14.27,10.35,8.31,6.69,5.34,LU,1
122,25,6.67,1.85,14.16,10.50,8.30,6.66,5.37,LU,1
122,25,6.71,1.80,14.04,10.45,8.31,6.68,5.36,LU,1
122,25,6.70,1.86,13.94,10.52,8.13,6.77,5.32,LU,1
122,26,6.88,1.94,13.56,9.93,7.72,5.62,5.22,LU,1
122,26,6.97,1.96,13.70,9.84,7.72,5.65,5.20,LU,1
122,26,7.02,1.94,13.60,9.78,7.66,5.66,5.20,LU,1
122,26,6.90,1.98,13.74,9.94,7.67,5.61,5.24,LU,1
122,27,6.57,1.70,14.08,10.05,8.68,6.18,5.28,LU,1
122,27,6.54,1.76,14.19,10.14,8.54,6.20,5.30,LU,1
122,27,6.55,1.72,14.00,10.16,8.66,6.17,5.29,LU,1
122,27,6.56,1.73,13.91,10.20,8.50,6.23,5.31,LU,1
122,28,6.36,1.89,13.42,10.33,8.39,6.44,5.46,LU,1
122,28,6.49,1.94,13.52,10.31,8.46,6.42,5.48,LU,1
122,28,6.47,1.92,13.41,10.28,8.40,6.37,5.52,LU,1
122,28,6.44,1.92,13.50,10.28,8.44,6.43,5.52,LU,1
122,29,7.36,2.18,14.37,10.64,8.29,6.50,5.34,LU,0
122,29,7.39,2.16,14.56,10.62,8.24,6.50,5.31,LU,0
122,29,7.37,2.17,14.51,10.66,8.40,6.40,5.31,LU,0
122,29,7.32,2.20,14.25,10.59,8.33,6.48,5.34,LU,0
122,30,6.05,1.81,12.47,9.22,7.17,5.28,5.12,LU,1
122,30,6.14,1.75,12.62,9.22,7.19,5.24,5.12,LU,1
122,30,6.08,1.76,12.38,9.15,7.14,5.32,5.12,LU,1
122,30,6.02,1.78,12.42,9.05,7.19,5.26,5.15,LU,1
122,31,6.52,1.71,13.76,9.80,7.80,6.17,5.18,LU,0
