Lote,Individuo,AE,LE,AT,LT,AA,LA,NV,Morfotipo,Ratio_LE_AE,Ratio_LT_AT,Ratio_LA_AA,Ratio_LE_LT,Ratio_AE_AT,Ratio_LA_LT,Ratio_AA_AT,Ratio_LE_LA,Ratio_AE_AA
101,9,7.07,2.24,13.55,10.87,7.97,5.97,4.86,LU,0.31683168316831684,0.8022140221402213,0.7490589711417817,0.20607175712971484,0.5217712177121772,0.5492180312787489,0.5881918819188191,0.3752093802345059,0.8870765370138018
101,10,6.26,2.07,12.68,9.25,7.41,5.01,5.36,LU,0.33067092651757185,0.7294952681388013,0.6761133603238866,0.22378378378378377,0.49369085173501576,0.5416216216216216,0.5843848580441641,0.41317365269461076,0.844804318488529
101,11,6.01,1.83,12.38,9.24,7.37,5.63,4.07,LU,0.30449251247920134,0.7463651050080775,0.7639077340569878,0.19805194805194806,0.4854604200323101,0.6093073593073592,0.5953150242326333,0.325044404973357,0.8154681139755766
101,12,7.96,2.6,15.88,11.67,8.99,7.29,5.11,LU,0.32663316582914576,0.7348866498740554,0.8109010011123471,0.22279348757497858,0.5012594458438286,0.6246786632390745,0.5661209068010076,0.35665294924554186,0.8854282536151279
101,13,6.24,1.53,12.76,9.3,7.82,6.06,5.19,LU,0.24519230769230768,0.7288401253918496,0.7749360613810741,0.16451612903225807,0.4890282131661442,0.6516129032258063,0.6128526645768025,0.2524752475247525,0.7979539641943734
101,14,6.6,2.2,13.27,9.71,7.58,5.24,4.95,LU,0.33333333333333337,0.7317256970610401,0.6912928759894459,0.22657054582904224,0.49736247174076864,0.5396498455200823,0.5712132629992465,0.41984732824427484,0.8707124010554089
101,15,6.09,2.08,13.86,8.97,8.37,5.38,4.93,LU,0.3415435139573071,0.6471861471861473,0.6427718040621266,0.2318840579710145,0.4393939393939394,0.5997770345596432,0.6038961038961038,0.38661710037174724,0.7275985663082438
101,16,5.43,1.49,11.56,8.68,6.52,5.91,5.26,LU,0.27440147329650094,0.7508650519031141,0.9064417177914111,0.1716589861751152,0.46972318339100344,0.6808755760368664,0.5640138408304498,0.2521150592216582,0.8328220858895705
101,17,5.76,1.74,12.26,9.27,7.34,6.2,5.06,LU,0.30208333333333337,0.7561174551386622,0.8446866485013624,0.1877022653721683,0.4698205546492659,0.668824163969795,0.598694942903752,0.2806451612903226,0.784741144414169
101,18,4.64,1.2,10.29,7.75,6.25,5.26,5.21,LU,0.25862068965517243,0.7531584062196308,0.8416,0.15483870967741936,0.4509232264334305,0.6787096774193548,0.6073858114674442,0.22813688212927757,0.7424
